Date,Time,Voltage,Current,Power
10/26/20,15: 49: 14,246.4,0.12,22
10/26/20,15: 49: 14,251.6,0.12,25
10/26/20,15: 49: 14,251.6,0.15,19
10/26/20,15: 49: 14,249.9,0.15,19
10/26/20,15: 49: 14,249.9,0.12,22
10/26/20,15: 49: 14,249.9,0.12,22
10/26/20,15: 49: 14,250.4,0.12,23
10/26/20,15: 49: 14,250.4,0.15,24
10/26/20,15: 49: 14,250.4,0.15,17
10/26/20,15: 49: 14,248.3,0.15,19
10/26/20,15: 49: 14,248.3,0.12,18
10/26/20,15: 49: 14,246.5,0.12,18
10/26/20,15: 49: 14,246.5,0.12,20
10/26/20,15: 49: 14,246.5,0.12,18
10/26/20,15: 49: 14,248.0,0.12,18
10/26/20,15: 49: 14,248.0,0.13,18
10/26/20,15: 49: 14,248.0,0.13,19
10/26/20,15: 49: 14,248.1,0.13,18
10/26/20,15: 49: 14,248.1,0.12,21
10/26/20,15: 49: 14,247.8,0.12,21
10/26/20,15: 49: 14,247.8,0.12,22
10/26/20,15: 49: 14,247.8,0.12,18
10/26/20,15: 49: 14,247.2,0.12,18
10/26/20,15: 49: 14,247.2,0.12,19
10/26/20,15: 49: 14,247.2,0.12,20
10/26/20,15: 49: 14,250.8,0.12,17
10/26/20,15: 49: 14,250.8,0.12,17
10/26/20,15: 49: 14,247.5,0.12,17
10/26/20,15: 49: 14,247.5,0.13,25
10/26/20,15: 49: 14,247.5,0.13,18
10/26/20,15: 49: 14,250.8,0.13,21
10/26/20,15: 49: 14,250.8,0.13,20
10/26/20,15: 49: 14,250.8,0.13,19
10/26/20,15: 49: 14,249.7,0.13,18
10/26/20,15: 49: 14,249.7,0.12,18
10/26/20,15: 49: 14,248.3,0.12,18
10/26/20,15: 49: 14,248.3,0.13,21
10/26/20,15: 49: 14,248.3,0.13,20
10/26/20,15: 49: 14,248.7,0.13,18
10/26/20,15: 49: 14,248.7,0.12,17
10/26/20,15: 49: 14,248.7,0.12,18
10/26/20,15: 49: 14,245.5,0.12,23
10/26/20,15: 49: 14,245.5,0.15,26
10/26/20,15: 49: 14,251.3,0.15,26
